name,ab,url,strat,org,sector,type,region,country,city,submitted, 
Ooho edible water bottle,"The spherical flexible packaging made out of seaweed can also be used for other liquids including water, soft drinks, spirits and cosmetics, and our proprietary material is actually cheaper than plastic.",http://www.skippingrockslab.com/,"DESIGN: e.g.: design for disassembly, redesign of supply chains, c2c, …",Skipping Rocks Lab,FOOD & BEVERAGES including agriculture and restaurants,- Startup,Europe,United Kingdom,London,CEC team from London test session,https://www.circulareconomyclub.com/team/
Handbags from underwear,Bags created from old bra`s,www.sexylittlebag.com,"PRODUCT LIFE EXTENSION: e.g.: reuse, share, redistribute, donate, repair, remanufacture, …",Sexy little Bag,FASHION and other textiles,- Startup,Europe,Switzerland,Zurich,CEC Bern Mapping Organizer: Keith Riggs,https://www.circulareconomyclub.com/bern-mapping-session-keith-riggs/
easyGrow™ Teabag Technology™ for bedding plants,"Individual cubes of peat-free coir compost held neatly together by a biodegradable ‘teabag’ made with PLA (polylactide), a fully compostable fabric derived from corn starch, which disintegrates in the soil, allowing roots to establish quickly. ",http://www.diy.com/easygrow,"DESIGN: e.g.: design for disassembly, redesign of supply chains, c2c, …",B&Q EasyGrow,FOOD & BEVERAGES including agriculture and restaurants,- Multinational Corporate,Europe,United Kingdom,London,CEC team from London test session,https://www.circulareconomyclub.com/team/
Sustain™ packaging made from plants and compostable,"Instead of traditional plastics, Sustain™ packaging uses bio-plastic, which is made from plants such as corn. Plants that are easy to re-grow offer a great renewable resource. And it’s certified as compostable, it can be turned into compost after use, ready to help grow more plants.",https://www.londonbiopackaging.com/product-category/type/cold-drinks-cups/,"WASTE AS A RESOURCE: e.g.: recycling, compost, energy from waste, …",London Bio Packaging,FOOD & BEVERAGES including agriculture and restaurants,- SME,Europe,United Kingdom,London,CEC team from London test session,https://www.circulareconomyclub.com/team/
Concrete packaging that dissolves in water,"Thanks to the experts in Sika’s corporate team in Switzerland, using SikaFiber® Force-60 (polypropylene fiber for concrete reinforcement) now does not lead to excessive production of packaging waste. The team developed a packaging solution that completely dissolves in water and therefore does not need to be removed from the product prior to its addition to the concrete mixer.",www.sika.com,"RESOURCES: e.g.: biodegradable materials, renewable energy, clean processes, no hazardous chemicals, clean packaging, …",Sika Scwheiz,"CITIES: buildings, infrastructure, mobility, logistics, energy, water, waste management",- National Corporate,Europe,Switzerland,,CEC Bern Mapping Organizer: Keith Riggs,https://www.circulareconomyclub.com/bern-mapping-session-keith-riggs/
Ink made out of pollution,Fossil fuel based air pollution is rich in carbonaceous particulate matter. Anirudh Sharma is a researcher at the Massachusetts Institute of Technology (MIT) who had the idea to confine and bind captured pollution into high grade inks that everyone can use and express themselves with through art or writing.,https://www.kickstarter.com/projects/1295587226/air-ink-the-worlds-first-ink-made-out-of-air-pollu,"WASTE AS A RESOURCE: e.g.: recycling, compost, energy from waste, …",Air-ink,"CONSUMER PRODUCTS & ELECTRONICS: mobile phones, computers, hygiene products, toys, etc",- Startup,North America,United States,Boston,CEC team from London test session,https://www.circulareconomyclub.com/team/
Beer from fresh surplus bread,"They source the heel end of loaves that aren’t used to make sandwiches. They currently work with Adelie foods who donate and deliver the bread to Toast Ale. It would otherwise cost them to dispose of the bread. Their brewery partner uses an industrial shredder to break up the bread. However, they are experimenting with changes to the process that’d allow then to use some whole slices in the brew. ",https://www.toastale.com/q-a/,"WASTE AS A RESOURCE: e.g.: recycling, compost, energy from waste, …",Toast Ale,FOOD & BEVERAGES including agriculture and restaurants,- Startup,Europe,United Kingdom,London,CEC team from London test session,https://www.circulareconomyclub.com/team/
Coffee logs,"Coffee Logs are eco heat logs for stoves, open fires and chimineas, made from your spent coffee grounds.",http://www.bio-bean.com/coffee-logs/,"WASTE AS A RESOURCE: e.g.: recycling, compost, energy from waste, …",Bio-bean,FOOD & BEVERAGES including agriculture and restaurants,- Startup,Europe,United Kingdom,London,CEC team from London test session,https://www.circulareconomyclub.com/team/
Food cloud connecting retailers with charities,Stores upload the descriptions of food they cannot sell to the platform using a smartphone app. A local charity linked to the store through the platform receives a notification letting them know food is available for collection. The charity responds accepting the food and they go and collect it. ,https://food.cloud/how-foodcloud-works/,"WASTE AS A RESOURCE: e.g.: recycling, compost, energy from waste, …",FoodCloud Hubs,FOOD & BEVERAGES including agriculture and restaurants,- Startup,Europe,Ireland,Dublin,CEC team from London test session,https://www.circulareconomyclub.com/team/
Trainers made out of ocean plastic waste,"Sneaker made from 3D-printed recycled ocean waste. Each shoe’s upper (the part that goes over the top of the foot) is made from 5 percent recycled polyester and 95 percent waste plastic dredged from the ocean around the Maldives. Each pair of shoes contains 11 plastic bottles, and most of the rest of the sneaker (including the heel, lining, and laces) is also made from recycled material.",http://www.adidas.com/us/parley,"WASTE AS A RESOURCE: e.g.: recycling, compost, energy from waste, …",Adidas,FASHION and other textiles,- Multinational Corporate,Global,Global,Global,CEC team from London test session,https://www.circulareconomyclub.com/team/
Carpets made out of fishing nets,The fishers from the community-based supply chain called 'Net-Works' collect discarded fishing nets which Interface uses to create carpet tiles. ,http://www.interface.com/APAC/en-AU/about/mission/Net-Works-en_AU,"WASTE AS A RESOURCE: e.g.: recycling, compost, energy from waste, …",Interface,FASHION and other textiles,- Multinational Corporate,Europe,United Kingdom,London,CEC team from London test session,https://www.circulareconomyclub.com/team/
Refurbishing office furniture,Refurbishing or remodelling current office furniture at 20% to 30% of the cost of new.,http://www.rypeoffice.com/#help,"PRODUCT LIFE EXTENSION: e.g.: reuse, share, redistribute, donate, repair, remanufacture, …",Rype Office,"MANUFACTURING: Equipment, furniture, paper, plastics, chemicals, metal, mining, etc.",- SME,Europe,United Kingdom,London,CEC team from London test session,https://www.circulareconomyclub.com/team/
Platform connecting offices and buyers of furniture,"Platform members can upload any type of unwanted items they want to dispose of. The member offering the item specifies availability for collection dates, and the members requesting can have as many items as they want for free, while they are responsible to arrange their own collections.",https://www.globechain.co.uk/how-it-works.html,"PRODUCT LIFE EXTENSION: e.g.: reuse, share, redistribute, donate, repair, remanufacture, …",Globechain,"MANUFACTURING: Equipment, furniture, paper, plastics, chemicals, metal, mining, etc.",- Startup,Europe,Over Europe,London,CEC team from London test session,https://www.circulareconomyclub.com/team/
Construction system that does not require binding materials,"Triagomy is a panel-based construction system made out of biomaterials (such as fungus) that does not require binding materials, additional fixtures or fasteners to create durable robust structures. Taking inspiration from nature, the design is based on sections of a hexagon (triagonals) similar to how bee hives and carbon molecules are assembled.",http://www.biohm.co.uk/triagomy,"DESIGN: e.g.: design for disassembly, redesign of supply chains, c2c, …",Biohm,"CITIES: buildings, infrastructure, mobility, logistics, energy, water, waste management",- Startup,Europe,United Kingdom,London,CEC team from London test session,https://www.circulareconomyclub.com/team/
Capsule-system avoiding packaging in the food supply chain,"Based on the concept of precycling (stopping the waste before it even happens), the producer fills the reusable capsules with their products, which are transported to stores. Once in the store, the capsules are located on the sales floor in special storage-dispensing modular stands, the customers get their goods directly from the capsule by filling in their own container or a returnable one in the store. ",http://www.miwa.eu/,"DESIGN: e.g.: design for disassembly, redesign of supply chains, c2c, …",MIWA,FOOD & BEVERAGES including agriculture and restaurants,- Startup,Europe,Czech Republic,Prague,CEC team from London test session,https://www.circulareconomyclub.com/team/
Reusable packaging,"A package (made from recycled polypropene) is designed to fold into letter size when empty and to be simply returned to a letterbox, anywhere in the world, free of charge.         Each package is designed to last at least 20 cycles and is designed specifically to ship clothing.",https://www.originalrepack.com/,"DESIGN: e.g.: design for disassembly, redesign of supply chains, c2c, …",Repack,FASHION and other textiles,- Startup,Europe,Finland,Helsinki,CEC team from London test session,https://www.circulareconomyclub.com/team/
Food snack made out of fruit waste,"Snacts created out of fruit waste with no additives. Every day huge amounts of food get wasted unnecessarily, for all the wrong reasons. Wrong shape, wrong size, wrong place, wrong time....",https://snact.co.uk/about-us/,"WASTE AS A RESOURCE: e.g.: recycling, compost, energy from waste, …",Snact,FOOD & BEVERAGES including agriculture and restaurants,- SME,Europe,United Kingdom,London,CEC team from London test session,https://www.circulareconomyclub.com/team/
A building constructed out of fully re-useable components,"This full-scale prototype is designed and constructed with materials that can be removed with minimum damage, helping each component to retain its value. Digital technology is used to ‘tag’ all items, including everything from window frames to individual fixings, each with a unique QR code containing information allowing it to be reused.",http://circularbuilding.arup.com/,"DESIGN: e.g.: design for disassembly, redesign of supply chains, c2c, …",ARUP,"CITIES: buildings, infrastructure, mobility, logistics, energy, water, waste management",- Multinational Corporate,Europe,United Kingdom,London,CEC team from London test session,https://www.circulareconomyclub.com/team/
Prefabricated house made out of organic materials,"Following 3 months in production, 12 months on site, and the installation of 20,000 toothbrushes, 2 tonnes of denim jeans, 4,000 DVD cases, 2,000 floppy discs, 2000 used carpet tiles (to clad the facades) and the hard work of 253 students and apprentices we have been able to complete The Brighton Waste House on campus at The Faculty of Arts Grand Parade.",https://bbm-architects.co.uk/portfolio/waste-house/,"WASTE AS A RESOURCE: e.g.: recycling, compost, energy from waste, …",University of Brighton,"CITIES: buildings, infrastructure, mobility, logistics, energy, water, waste management",Education,Europe,United Kingdom,Brighton,CEC team from London test session,https://www.circulareconomyclub.com/team/
Pay-per-lux,"Users do not own the lighting fixtures but instead rent them from Philips, and pay a flat rate for lighting. If users go over their expected energy usage, they get cash back from Philips. This creates a financial incentive for Philips to provide users' with the most energy-efficient service possible, while users are granted the stability of a predictable, fixed price over fifteen years.",https://www.philips.com/a-w/about/sustainability/sustainable-planet/circular-economy/light-as-a-service.html,"BUSINESS MODELS: e.g.: product as a service, rent, re-sell, lease, ...",Philips,"CONSUMER PRODUCTS & ELECTRONICS: mobile phones, computers, hygiene products, toys, etc",- Multinational Corporate,Europe,United Kingdom,London,CEC team from London test session,https://www.circulareconomyclub.com/team/
Tyres as a service ,A tyre free from harmful substances and a design that emphasises safety and durability. It is only for electrical vehicles and it is marketed as a service. ,https://www.ensotyres.com/,"DESIGN: e.g.: design for disassembly, redesign of supply chains, c2c, …",ENSO Tyres,"CITIES: buildings, infrastructure, mobility, logistics, energy, water, waste management",- Startup,Europe,United Kingdom,London,CEC team from London test session,https://www.circulareconomyclub.com/team/
Take-back system using incentives,"Sourcing electronics and equipment from medium to large-sized businesses and public sector organisations, and they aim to re-market it. The firm repairs and refurbishes functional used IT products and sells them on to new owners, sharing the revenue with the previous owner.",http://www.re-tek.co.uk/services/re-furbishment-re-deployment/,"PRODUCT LIFE EXTENSION: e.g.: reuse, share, redistribute, donate, repair, remanufacture, …",Re-Tek,"CONSUMER PRODUCTS & ELECTRONICS: mobile phones, computers, hygiene products, toys, etc",- SME,Europe,United Kingdom,Scotland,CEC team from London test session,https://www.circulareconomyclub.com/team/
Phone return scheme,"Consumers can give back their used phone to O2 to get piad in exchange. Users upload their phone and get a quote. O2 sends out a free postage pack. O2 checks the device, confirms the quote and paids the user.",https://www.o2recycle.co.uk/,"PRODUCT LIFE EXTENSION: e.g.: reuse, share, redistribute, donate, repair, remanufacture, …",O2,"CONSUMER PRODUCTS & ELECTRONICS: mobile phones, computers, hygiene products, toys, etc",- Multinational Corporate,Europe,United Kingdom,London,CEC team from London test session,https://www.circulareconomyclub.com/team/
Food waste diversion program in hotels,"Food waste avoidance and diversion program that initially worked with hotels and resorts, but is now expanding to other food production and service facilities.",http://www.lightblueconsulting.com/,"WASTE AS A RESOURCE: e.g.: recycling, compost, energy from waste, …",Lightblue Environmental Consulting,"CITIES: buildings, infrastructure, mobility, logistics, energy, water, waste management","Support (investment, consulting, media, etc)",Asia & Oz,Thailand,Bangkok,CEC Bangkok Mapping Organizer: Chris Oestereich,https://www.circulareconomyclub.com/cec-bangkok-chris-oestereich/
Laundry bag to minimise synthetic fibres in water,The GUPPYFRIEND Washing Bag is the first practical way to prevent microfibers from entering into rivers and oceans. Its soft surface results in fewer fiber losses and thus helps your garments last longer. Those microfibers that break during washing are captured inside the bag.,http://guppyfriend.com/en/,"DESIGN: e.g.: design for disassembly, redesign of supply chains, c2c, …",Guppy Friends,FASHION and other textiles,- SME,Europe,Germany,Berlin,CEC Birmingham Mapping Organizer: Lydia Dutton and Debbie Ward,https://www.circulareconomyclub.com/birmingham-mapping-session-lydia-dutton/
